========== 会话开始 2026-08-03 11:42:56.040 ==========
INFO | 日志文件 | D:\Qt\project\opencv\bin\debug\logs\app_20260803_114256.log
INFO | 应用 | 图像处理工具 1.0.0
11:42:56.040 | INFO | 程序启动
11:42:56.040 | INFO | 可执行文件 | D:/Qt/project/opencv/bin/debug/opencv.exe
11:42:56.040 | INFO | 图像内存上限 | 不限制
11:42:56.047 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_binarization_en.qm
11:42:56.047 | INFO | 已加载外部插件 | block_binarization.dll → 二值化处理
11:42:56.049 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_filter_en.qm
11:42:56.050 | INFO | 已加载外部插件 | block_filter.dll → 滤波处理
11:42:56.053 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_glcm_en.qm
11:42:56.053 | INFO | 已加载外部插件 | block_glcm.dll → 灰度共生矩阵
11:42:56.056 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_graytransform_en.qm
11:42:56.056 | INFO | 已加载外部插件 | block_graytransform.dll → 灰度变换
11:42:56.059 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_morphology_en.qm
11:42:56.060 | INFO | 已加载外部插件 | block_morphology.dll → 形态学处理
11:42:56.062 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_pseudocolor_en.qm
11:42:56.062 | INFO | 已加载外部插件 | block_pseudocolor.dll → 伪彩色处理
11:42:56.063 | INFO | 尝试插件目录 | D:/Qt/project/opencv/bin/debug/plugins → 6
11:42:56.063 | INFO | 算法插件 | 目录=D:/Qt/project/opencv/bin/debug/plugins 加载=6
11:42:56.142 | INFO | 会话已加载 | path=D:/Qt/project/opencv/bin/debug/sessions/app_sessions.json count=32
11:42:56.600 | INFO | 切换主题 | light
11:42:56.682 | INFO | 主窗口已显示
11:43:21.877 | INFO | 打开文件夹 | dir=D:/opencv/opencv/sources/samples/data count=93
11:43:22.451 | INFO | 清空处理链 | removed=0 reprocessAfter=否
11:43:22.452 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne1.jpg size=640x480 prev=(无) session=新建空会话 blocks=0 rois=0
11:43:27.636 | INFO | 撤销快照 | reason=添加处理块 depth=1
11:43:27.636 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne1.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:27.647 | INFO | 执行处理块 | name=二值化处理 elapsed=10 ms rois=0
11:43:27.648 | INFO | 流水线结束 | total=10 ms steps=[二值化处理(10ms)]
11:43:27.648 | INFO | 处理完成 | elapsed=10 ms path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne1.jpg result=640x480
11:43:27.683 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:29.935 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne1.jpg blocks=1 rois=0
11:43:29.937 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:29.952 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:29.953 | INFO | 恢复会话 | blocks=1 rois=0
11:43:29.953 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne1.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:29.960 | INFO | 执行处理块 | name=二值化处理 elapsed=6 ms rois=0
11:43:29.961 | INFO | 流水线结束 | total=7 ms steps=[二值化处理(6ms)]
11:43:29.962 | INFO | 处理完成 | elapsed=7 ms path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne1.jpg result=640x480
11:43:29.962 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne1.jpg size=640x480 prev=D:/opencv/opencv/sources/samples/data/Blender_Suzanne1.jpg session=强制模板 blocks=1 rois=0
11:43:30.475 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne1.jpg blocks=1 rois=0
11:43:30.478 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:30.493 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:30.493 | INFO | 恢复会话 | blocks=1 rois=0
11:43:30.494 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne2.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:30.501 | INFO | 执行处理块 | name=二值化处理 elapsed=5 ms rois=0
11:43:30.501 | INFO | 流水线结束 | total=6 ms steps=[二值化处理(5ms)]
11:43:30.502 | INFO | 处理完成 | elapsed=6 ms path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne2.jpg result=640x480
11:43:30.502 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/Blender_Suzanne2.jpg size=640x480 prev=D:/opencv/opencv/sources/samples/data/Blender_Suzanne1.jpg session=强制模板 blocks=1 rois=0
