========== 会话开始 2026-07-22 14:53:51.784 ==========
INFO | 日志文件 | D:\Qt\project\opencv\build\Desktop_Qt_6_7_3_MSVC2019_64bit_Debug\debug\logs\app_20260722.log
INFO | 应用 | 图像处理工具 1.0.0
14:53:51.785 | INFO | 程序启动
14:53:52.385 | INFO | 主窗口已显示
14:54:37.922 | INFO | 打开文件夹 | dir=C:/Users/Admin/Desktop/图片 count=4
14:54:39.280 | INFO | 清空处理链 | removed=0 reprocessAfter=否
14:54:39.281 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/input.png size=1066x1061 prev=(无) session=新建空会话 blocks=0 rois=0
14:54:40.643 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/input.png blocks=0 rois=0
14:54:40.646 | INFO | 清空处理链 | removed=0 reprocessAfter=否
14:54:40.646 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/input.png session=新建空会话 blocks=0 rois=0
14:54:41.020 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result.png blocks=0 rois=0
14:54:41.021 | INFO | 清空处理链 | removed=0 reprocessAfter=否
14:54:41.022 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result1.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result.png session=新建空会话 blocks=0 rois=0
14:54:41.459 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=0 rois=0
14:54:41.460 | INFO | 清空处理链 | removed=0 reprocessAfter=否
14:54:41.461 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/壁纸.png size=1672x942 prev=C:/Users/Admin/Desktop/图片/result1.png session=新建空会话 blocks=0 rois=0
14:54:42.282 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=0 rois=0
14:54:42.284 | INFO | 清空处理链 | removed=0 reprocessAfter=否
14:54:42.284 | INFO | 恢复会话 | blocks=0 rois=0
14:54:42.285 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result1.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/壁纸.png session=恢复 blocks=0 rois=0
14:54:42.743 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=0 rois=0
14:54:42.744 | INFO | 清空处理链 | removed=0 reprocessAfter=否
14:54:42.745 | INFO | 恢复会话 | blocks=0 rois=0
14:54:42.745 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result1.png session=恢复 blocks=0 rois=0
14:54:43.170 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result.png blocks=0 rois=0
14:54:43.171 | INFO | 清空处理链 | removed=0 reprocessAfter=否
14:54:43.172 | INFO | 恢复会话 | blocks=0 rois=0
14:54:43.172 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/input.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result.png session=恢复 blocks=0 rois=0
14:54:45.873 | INFO | 添加ROI | type=rect center=(533,530.5) size=100x100 total=1
14:54:47.161 | INFO | 删除ROI | mode=选中 removed=1 remain=0
14:54:48.561 | INFO | 添加ROI | type=rect center=(533,530.5) size=100x100 total=1
14:54:53.814 | INFO | 添加ROI | type=rect center=(533,530.5) size=100x100 total=2
14:55:01.395 | INFO | 添加ROI | type=ellipse center=(533,530.5) size=100x100 total=3
14:55:11.728 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:11.759 | INFO | 执行处理块 | name=二值化处理 elapsed=29 ms rois=3
14:55:11.760 | INFO | 流水线结束 | total=30 ms steps=[二值化处理(29ms)]
14:55:11.760 | INFO | 处理完成 | elapsed=30 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:11.804 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:13.622 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:13.647 | INFO | 执行处理块 | name=二值化处理 elapsed=23 ms rois=3
14:55:13.648 | INFO | 流水线结束 | total=24 ms steps=[二值化处理(23ms)]
14:55:13.649 | INFO | 处理完成 | elapsed=24 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:14.574 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:14.596 | INFO | 执行处理块 | name=二值化处理 elapsed=22 ms rois=3
14:55:14.597 | INFO | 流水线结束 | total=23 ms steps=[二值化处理(22ms)]
14:55:14.599 | INFO | 处理完成 | elapsed=23 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:15.337 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:15.362 | INFO | 执行处理块 | name=二值化处理 elapsed=24 ms rois=3
14:55:15.363 | INFO | 流水线结束 | total=25 ms steps=[二值化处理(24ms)]
14:55:15.364 | INFO | 处理完成 | elapsed=25 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:15.664 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:15.692 | INFO | 执行处理块 | name=二值化处理 elapsed=27 ms rois=3
14:55:15.694 | INFO | 流水线结束 | total=28 ms steps=[二值化处理(27ms)]
14:55:15.695 | INFO | 处理完成 | elapsed=28 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:16.088 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:16.112 | INFO | 执行处理块 | name=二值化处理 elapsed=22 ms rois=3
14:55:16.112 | INFO | 流水线结束 | total=24 ms steps=[二值化处理(22ms)]
14:55:16.113 | INFO | 处理完成 | elapsed=24 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:17.504 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:17.528 | INFO | 执行处理块 | name=二值化处理 elapsed=23 ms rois=3
14:55:17.528 | INFO | 流水线结束 | total=24 ms steps=[二值化处理(23ms)]
14:55:17.530 | INFO | 处理完成 | elapsed=24 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:34.792 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 rois=3
14:55:34.795 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:34.795 | INFO | 恢复会话 | blocks=0 rois=0
14:55:34.795 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/input.png session=恢复 blocks=0 rois=0
14:55:35.725 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result.png blocks=0 rois=0
14:55:35.727 | INFO | 清空处理链 | removed=0 reprocessAfter=否
14:55:35.743 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:35.744 | INFO | 恢复会话 | blocks=1 rois=3
14:55:35.744 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:35.768 | INFO | 执行处理块 | name=二值化处理 elapsed=23 ms rois=3
14:55:35.769 | INFO | 流水线结束 | total=24 ms steps=[二值化处理(23ms)]
14:55:35.769 | INFO | 处理完成 | elapsed=24 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:35.770 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/input.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result.png session=恢复 blocks=1 rois=3
14:55:36.355 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 rois=3
14:55:36.358 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:36.358 | INFO | 恢复会话 | blocks=0 rois=0
14:55:36.359 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/input.png session=恢复 blocks=0 rois=0
14:55:37.068 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result.png blocks=0 rois=0
14:55:37.069 | INFO | 清空处理链 | removed=0 reprocessAfter=否
14:55:37.084 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:37.086 | INFO | 恢复会话 | blocks=1 rois=3
14:55:37.086 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:37.112 | INFO | 执行处理块 | name=二值化处理 elapsed=25 ms rois=3
14:55:37.113 | INFO | 流水线结束 | total=26 ms steps=[二值化处理(25ms)]
14:55:37.114 | INFO | 处理完成 | elapsed=26 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:37.115 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/input.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result.png session=恢复 blocks=1 rois=3
14:55:37.922 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 rois=3
14:55:37.924 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:37.924 | INFO | 恢复会话 | blocks=0 rois=0
14:55:37.925 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/input.png session=恢复 blocks=0 rois=0
14:55:39.020 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
14:55:39.041 | INFO | 执行处理块 | name=二值化处理 elapsed=19 ms rois=0
14:55:39.042 | INFO | 流水线结束 | total=20 ms steps=[二值化处理(19ms)]
14:55:39.042 | INFO | 处理完成 | elapsed=20 ms path=C:/Users/Admin/Desktop/图片/result.png result=1066x1061
14:55:39.052 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:40.215 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 rois=0
14:55:40.217 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:40.217 | INFO | 恢复会话 | blocks=0 rois=0
14:55:40.217 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result1.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result.png session=恢复 blocks=0 rois=0
14:55:41.244 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 enabled=1 rois=0 chain=[形态学处理]
14:55:41.265 | INFO | 执行处理块 | name=形态学处理 elapsed=19 ms rois=0
14:55:41.266 | INFO | 流水线结束 | total=20 ms steps=[形态学处理(19ms)]
14:55:41.266 | INFO | 处理完成 | elapsed=20 ms path=C:/Users/Admin/Desktop/图片/result1.png result=1066x1061
14:55:41.291 | INFO | 添加处理块 | name=形态学处理 index=0
14:55:42.607 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 rois=0
14:55:42.610 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:42.610 | INFO | 恢复会话 | blocks=0 rois=0
14:55:42.611 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/壁纸.png size=1672x942 prev=C:/Users/Admin/Desktop/图片/result1.png session=恢复 blocks=0 rois=0
14:55:43.548 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=1 enabled=1 rois=0 chain=[滤波处理]
14:55:43.598 | INFO | 执行处理块 | name=滤波处理 elapsed=49 ms rois=0
14:55:43.598 | INFO | 流水线结束 | total=50 ms steps=[滤波处理(49ms)]
14:55:43.599 | INFO | 处理完成 | elapsed=50 ms path=C:/Users/Admin/Desktop/图片/壁纸.png result=1672x942
14:55:43.624 | INFO | 添加处理块 | name=滤波处理 index=0
14:55:44.349 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=2 enabled=2 rois=0 chain=[滤波处理 -> 灰度变换]
14:55:44.402 | INFO | 执行处理块 | name=滤波处理 elapsed=51 ms rois=0
14:55:44.428 | INFO | 执行处理块 | name=灰度变换 elapsed=25 ms rois=0
14:55:44.428 | INFO | 流水线结束 | total=78 ms steps=[滤波处理(51ms) -> 灰度变换(25ms)]
14:55:44.430 | INFO | 处理完成 | elapsed=78 ms path=C:/Users/Admin/Desktop/图片/壁纸.png result=1672x942
14:55:44.455 | INFO | 添加处理块 | name=灰度变换 index=1
14:55:44.963 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=3 enabled=3 rois=0 chain=[滤波处理 -> 灰度变换 -> 伪彩色处理]
14:55:45.017 | INFO | 执行处理块 | name=滤波处理 elapsed=52 ms rois=0
14:55:45.045 | INFO | 执行处理块 | name=灰度变换 elapsed=26 ms rois=0
14:55:45.077 | INFO | 执行处理块 | name=伪彩色处理 elapsed=30 ms rois=0
14:55:45.077 | INFO | 流水线结束 | total=112 ms steps=[滤波处理(52ms) -> 灰度变换(26ms) -> 伪彩色处理(30ms)]
14:55:45.078 | INFO | 处理完成 | elapsed=112 ms path=C:/Users/Admin/Desktop/图片/壁纸.png result=1672x942
14:55:45.100 | INFO | 添加处理块 | name=伪彩色处理 index=2
14:55:46.181 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=3 rois=0
14:55:46.184 | INFO | 清空处理链 | removed=3 reprocessAfter=否
14:55:46.200 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:46.201 | INFO | 恢复会话 | blocks=1 rois=3
14:55:46.202 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:46.225 | INFO | 执行处理块 | name=二值化处理 elapsed=23 ms rois=3
14:55:46.227 | INFO | 流水线结束 | total=24 ms steps=[二值化处理(23ms)]
14:55:46.227 | INFO | 处理完成 | elapsed=24 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:46.228 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/input.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/壁纸.png session=恢复 blocks=1 rois=3
14:55:46.865 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 rois=3
14:55:46.868 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:46.884 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:46.884 | INFO | 恢复会话 | blocks=1 rois=0
14:55:46.885 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
14:55:46.907 | INFO | 执行处理块 | name=二值化处理 elapsed=21 ms rois=0
14:55:46.907 | INFO | 流水线结束 | total=21 ms steps=[二值化处理(21ms)]
14:55:46.908 | INFO | 处理完成 | elapsed=21 ms path=C:/Users/Admin/Desktop/图片/result.png result=1066x1061
14:55:46.908 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/input.png session=恢复 blocks=1 rois=0
14:55:48.194 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 rois=0
14:55:48.197 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:48.235 | INFO | 添加处理块 | name=形态学处理 index=0
14:55:48.235 | INFO | 恢复会话 | blocks=1 rois=0
14:55:48.236 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 enabled=1 rois=0 chain=[形态学处理]
14:55:48.255 | INFO | 执行处理块 | name=形态学处理 elapsed=18 ms rois=0
14:55:48.255 | INFO | 流水线结束 | total=19 ms steps=[形态学处理(18ms)]
14:55:48.256 | INFO | 处理完成 | elapsed=19 ms path=C:/Users/Admin/Desktop/图片/result1.png result=1066x1061
14:55:48.256 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result1.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result.png session=恢复 blocks=1 rois=0
14:55:48.596 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 rois=0
14:55:48.598 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:48.614 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:48.614 | INFO | 恢复会话 | blocks=1 rois=0
14:55:48.614 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
14:55:48.635 | INFO | 执行处理块 | name=二值化处理 elapsed=19 ms rois=0
14:55:48.636 | INFO | 流水线结束 | total=20 ms steps=[二值化处理(19ms)]
14:55:48.637 | INFO | 处理完成 | elapsed=20 ms path=C:/Users/Admin/Desktop/图片/result.png result=1066x1061
14:55:48.637 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result1.png session=恢复 blocks=1 rois=0
14:55:49.107 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 rois=0
14:55:49.109 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:49.125 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:49.126 | INFO | 恢复会话 | blocks=1 rois=3
14:55:49.126 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
14:55:49.152 | INFO | 执行处理块 | name=二值化处理 elapsed=24 ms rois=3
14:55:49.152 | INFO | 流水线结束 | total=25 ms steps=[二值化处理(24ms)]
14:55:49.153 | INFO | 处理完成 | elapsed=25 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
14:55:49.154 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/input.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result.png session=恢复 blocks=1 rois=3
14:55:50.214 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 rois=3
14:55:50.217 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:50.253 | INFO | 添加处理块 | name=滤波处理 index=0
14:55:50.292 | INFO | 添加处理块 | name=灰度变换 index=1
14:55:50.321 | INFO | 添加处理块 | name=伪彩色处理 index=2
14:55:50.321 | INFO | 恢复会话 | blocks=3 rois=0
14:55:50.322 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=3 enabled=3 rois=0 chain=[滤波处理 -> 灰度变换 -> 伪彩色处理]
14:55:50.375 | INFO | 执行处理块 | name=滤波处理 elapsed=52 ms rois=0
14:55:50.401 | INFO | 执行处理块 | name=灰度变换 elapsed=26 ms rois=0
14:55:50.431 | INFO | 执行处理块 | name=伪彩色处理 elapsed=27 ms rois=0
14:55:50.431 | INFO | 流水线结束 | total=109 ms steps=[滤波处理(52ms) -> 灰度变换(26ms) -> 伪彩色处理(27ms)]
14:55:50.432 | INFO | 处理完成 | elapsed=109 ms path=C:/Users/Admin/Desktop/图片/壁纸.png result=1672x942
14:55:50.432 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/壁纸.png size=1672x942 prev=C:/Users/Admin/Desktop/图片/input.png session=恢复 blocks=3 rois=0
14:55:51.239 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=3 rois=0
14:55:51.242 | INFO | 清空处理链 | removed=3 reprocessAfter=否
14:55:51.280 | INFO | 添加处理块 | name=形态学处理 index=0
14:55:51.281 | INFO | 恢复会话 | blocks=1 rois=0
14:55:51.281 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 enabled=1 rois=0 chain=[形态学处理]
14:55:51.300 | INFO | 执行处理块 | name=形态学处理 elapsed=17 ms rois=0
14:55:51.301 | INFO | 流水线结束 | total=18 ms steps=[形态学处理(17ms)]
14:55:51.301 | INFO | 处理完成 | elapsed=18 ms path=C:/Users/Admin/Desktop/图片/result1.png result=1066x1061
14:55:51.302 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result1.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/壁纸.png session=恢复 blocks=1 rois=0
14:55:52.080 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 rois=0
14:55:52.082 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:52.099 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:52.099 | INFO | 恢复会话 | blocks=1 rois=0
14:55:52.100 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
14:55:52.120 | INFO | 执行处理块 | name=二值化处理 elapsed=20 ms rois=0
14:55:52.121 | INFO | 流水线结束 | total=21 ms steps=[二值化处理(20ms)]
14:55:52.121 | INFO | 处理完成 | elapsed=21 ms path=C:/Users/Admin/Desktop/图片/result.png result=1066x1061
14:55:52.122 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result1.png session=恢复 blocks=1 rois=0
14:55:52.568 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 rois=0
14:55:52.571 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:52.609 | INFO | 添加处理块 | name=形态学处理 index=0
14:55:52.610 | INFO | 恢复会话 | blocks=1 rois=0
14:55:52.610 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 enabled=1 rois=0 chain=[形态学处理]
14:55:52.629 | INFO | 执行处理块 | name=形态学处理 elapsed=18 ms rois=0
14:55:52.629 | INFO | 流水线结束 | total=19 ms steps=[形态学处理(18ms)]
14:55:52.630 | INFO | 处理完成 | elapsed=19 ms path=C:/Users/Admin/Desktop/图片/result1.png result=1066x1061
14:55:52.630 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result1.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result.png session=恢复 blocks=1 rois=0
14:55:53.588 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 rois=0
14:55:53.591 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:53.628 | INFO | 添加处理块 | name=滤波处理 index=0
14:55:53.665 | INFO | 添加处理块 | name=灰度变换 index=1
14:55:53.694 | INFO | 添加处理块 | name=伪彩色处理 index=2
14:55:53.695 | INFO | 恢复会话 | blocks=3 rois=0
14:55:53.695 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=3 enabled=3 rois=0 chain=[滤波处理 -> 灰度变换 -> 伪彩色处理]
14:55:53.745 | INFO | 执行处理块 | name=滤波处理 elapsed=49 ms rois=0
14:55:53.769 | INFO | 执行处理块 | name=灰度变换 elapsed=23 ms rois=0
14:55:53.799 | INFO | 执行处理块 | name=伪彩色处理 elapsed=29 ms rois=0
14:55:53.800 | INFO | 流水线结束 | total=104 ms steps=[滤波处理(49ms) -> 灰度变换(23ms) -> 伪彩色处理(29ms)]
14:55:53.800 | INFO | 处理完成 | elapsed=104 ms path=C:/Users/Admin/Desktop/图片/壁纸.png result=1672x942
14:55:53.801 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/壁纸.png size=1672x942 prev=C:/Users/Admin/Desktop/图片/result1.png session=恢复 blocks=3 rois=0
14:55:53.990 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=3 rois=0
14:55:53.993 | INFO | 清空处理链 | removed=3 reprocessAfter=否
14:55:54.031 | INFO | 添加处理块 | name=形态学处理 index=0
14:55:54.031 | INFO | 恢复会话 | blocks=1 rois=0
14:55:54.032 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 enabled=1 rois=0 chain=[形态学处理]
14:55:54.050 | INFO | 执行处理块 | name=形态学处理 elapsed=18 ms rois=0
14:55:54.051 | INFO | 流水线结束 | total=19 ms steps=[形态学处理(18ms)]
14:55:54.051 | INFO | 处理完成 | elapsed=19 ms path=C:/Users/Admin/Desktop/图片/result1.png result=1066x1061
14:55:54.052 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result1.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/壁纸.png session=恢复 blocks=1 rois=0
14:55:54.343 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 rois=0
14:55:54.345 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:54.361 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:54.361 | INFO | 恢复会话 | blocks=1 rois=0
14:55:54.362 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
14:55:54.384 | INFO | 执行处理块 | name=二值化处理 elapsed=21 ms rois=0
14:55:54.384 | INFO | 流水线结束 | total=22 ms steps=[二值化处理(21ms)]
14:55:54.385 | INFO | 处理完成 | elapsed=22 ms path=C:/Users/Admin/Desktop/图片/result.png result=1066x1061
14:55:54.385 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result1.png session=恢复 blocks=1 rois=0
14:55:54.714 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 rois=0
14:55:54.718 | INFO | 清空处理链 | removed=1 reprocessAfter=否
14:55:54.734 | INFO | 添加处理块 | name=二值化处理 index=0
14:55:54.735 | INFO | 恢复会话 | blocks=1 rois=3
14:55:54.735 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=3 chain=[二值化处理]
