========== 会话开始 2026-07-23 10:08:05.319 ==========
INFO | 日志文件 | D:\Qt\project\opencv\build\Desktop_Qt_6_7_3_MSVC2019_64bit_Debug\debug\logs\app_20260723.log
INFO | 应用 | 图像处理工具 1.0.0
10:08:05.322 | INFO | 程序启动
10:08:08.815 | INFO | 会话已加载 | path=D:/Qt/project/opencv/build/Desktop_Qt_6_7_3_MSVC2019_64bit_Debug/debug/sessions/app_sessions.json count=1
10:08:10.357 | INFO | 切换主题 | light
10:08:10.648 | INFO | 主窗口已显示
10:08:50.423 | INFO | 撤销快照 | reason=添加处理块 depth=1
10:08:50.517 | INFO | 添加处理块 | name=二值化处理 index=0
10:08:51.549 | INFO | 撤销快照 | reason=添加处理块 depth=2
10:08:51.594 | INFO | 添加处理块 | name=形态学处理 index=1
10:08:52.588 | INFO | 撤销快照 | reason=添加处理块 depth=3
10:08:52.636 | INFO | 添加处理块 | name=滤波处理 index=2
10:08:53.702 | INFO | 撤销快照 | reason=添加处理块 depth=4
10:08:53.746 | INFO | 添加处理块 | name=灰度变换 index=3
10:09:06.880 | INFO | 切换主题 | dark
10:09:24.653 | INFO | 清空处理链 | removed=4 reprocessAfter=否
10:09:24.673 | INFO | 添加处理块 | name=二值化处理 index=0
10:09:24.712 | INFO | 添加处理块 | name=形态学处理 index=1
10:09:24.755 | INFO | 添加处理块 | name=滤波处理 index=2
10:09:24.756 | INFO | 恢复会话 | blocks=3 rois=0
10:09:24.756 | INFO | 撤销 | remain=3 blocks=3 rois=0
10:09:26.010 | INFO | 清空处理链 | removed=3 reprocessAfter=否
10:09:26.036 | INFO | 添加处理块 | name=二值化处理 index=0
10:09:26.077 | INFO | 添加处理块 | name=形态学处理 index=1
10:09:26.079 | INFO | 恢复会话 | blocks=2 rois=0
10:09:26.079 | INFO | 撤销 | remain=2 blocks=2 rois=0
10:09:26.721 | INFO | 清空处理链 | removed=2 reprocessAfter=否
10:09:26.745 | INFO | 添加处理块 | name=二值化处理 index=0
10:09:26.747 | INFO | 恢复会话 | blocks=1 rois=0
10:09:26.748 | INFO | 撤销 | remain=1 blocks=1 rois=0
10:09:27.586 | INFO | 清空处理链 | removed=1 reprocessAfter=否
10:09:27.587 | INFO | 恢复会话 | blocks=0 rois=0
10:09:27.587 | INFO | 撤销 | remain=0 blocks=0 rois=0
10:10:36.419 | INFO | 切换语言 | en
10:10:41.229 | INFO | 切换语言 | zh
10:10:43.304 | INFO | 切换主题 | light
10:10:56.109 | INFO | 打开文件夹 | dir=C:/Users/Admin/Desktop/图片 count=4
10:10:56.599 | INFO | 清空处理链 | removed=0 reprocessAfter=否
10:10:56.645 | INFO | 添加处理块 | name=形态学处理 index=0
10:10:56.646 | INFO | 恢复会话 | blocks=1 rois=0
10:10:56.647 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[形态学处理]
10:10:56.731 | INFO | 执行处理块 | name=形态学处理 elapsed=82 ms rois=0
10:10:56.734 | INFO | 流水线结束 | total=85 ms steps=[形态学处理(82ms)]
10:10:56.736 | INFO | 处理完成 | elapsed=85 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:10:56.738 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/input.png size=1066x1061 prev=(无) session=恢复 blocks=1 rois=0
10:11:03.222 | INFO | 切换主题 | dark
10:11:13.859 | INFO | 撤销快照 | reason=删除处理块 depth=1
10:11:13.860 | INFO | 应用处理 | 空链，结果重置为原图 path=C:/Users/Admin/Desktop/图片/input.png
10:11:13.862 | INFO | 流水线结束 | total=0 ms steps=[]
10:11:13.863 | INFO | 处理完成 | elapsed=0 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:13.866 | INFO | 删除处理块 | name=形态学处理 remain=0
10:11:15.770 | INFO | 撤销快照 | reason=添加处理块 depth=2
10:11:15.772 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
10:11:15.818 | INFO | 执行处理块 | name=二值化处理 elapsed=45 ms rois=0
10:11:15.819 | INFO | 流水线结束 | total=46 ms steps=[二值化处理(45ms)]
10:11:15.819 | INFO | 处理完成 | elapsed=46 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:15.836 | INFO | 添加处理块 | name=二值化处理 index=0
10:11:19.752 | INFO | 撤销快照 | reason=删除处理块 depth=3
10:11:19.752 | INFO | 应用处理 | 空链，结果重置为原图 path=C:/Users/Admin/Desktop/图片/input.png
10:11:19.752 | INFO | 流水线结束 | total=0 ms steps=[]
10:11:19.753 | INFO | 处理完成 | elapsed=0 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:19.756 | INFO | 删除处理块 | name=二值化处理 remain=0
10:11:24.125 | INFO | 切换主题 | light
10:11:24.974 | INFO | 撤销快照 | reason=添加处理块 depth=4
10:11:24.975 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
10:11:25.026 | INFO | 执行处理块 | name=二值化处理 elapsed=48 ms rois=0
10:11:25.027 | INFO | 流水线结束 | total=51 ms steps=[二值化处理(48ms)]
10:11:25.029 | INFO | 处理完成 | elapsed=51 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:25.046 | INFO | 添加处理块 | name=二值化处理 index=0
10:11:30.382 | INFO | 块参数变化 | 二值化处理
10:11:30.383 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
10:11:30.428 | INFO | 执行处理块 | name=二值化处理 elapsed=44 ms rois=0
10:11:30.429 | INFO | 流水线结束 | total=45 ms steps=[二值化处理(44ms)]
10:11:30.432 | INFO | 处理完成 | elapsed=45 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:30.432 | INFO | Otsu自动阈值 | t=147 rois=0
10:11:31.111 | INFO | 块参数变化 | 二值化处理
10:11:31.112 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
10:11:31.152 | INFO | 执行处理块 | name=二值化处理 elapsed=39 ms rois=0
10:11:31.154 | INFO | 流水线结束 | total=41 ms steps=[二值化处理(39ms)]
10:11:31.156 | INFO | 处理完成 | elapsed=41 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:31.158 | INFO | Otsu自动阈值 | t=147 rois=0
10:11:31.961 | INFO | 块参数变化 | 二值化处理
10:11:31.961 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
10:11:32.009 | INFO | 执行处理块 | name=二值化处理 elapsed=45 ms rois=0
10:11:32.009 | INFO | 流水线结束 | total=47 ms steps=[二值化处理(45ms)]
10:11:32.012 | INFO | 处理完成 | elapsed=47 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:32.014 | INFO | Otsu自动阈值 | t=147 rois=0
10:11:32.346 | INFO | 块参数变化 | 二值化处理
10:11:32.347 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
10:11:32.396 | INFO | 执行处理块 | name=二值化处理 elapsed=47 ms rois=0
10:11:32.396 | INFO | 流水线结束 | total=49 ms steps=[二值化处理(47ms)]
10:11:32.399 | INFO | 处理完成 | elapsed=49 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:32.399 | INFO | Otsu自动阈值 | t=147 rois=0
10:11:32.613 | INFO | 块参数变化 | 二值化处理
10:11:32.615 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
10:11:32.661 | INFO | 执行处理块 | name=二值化处理 elapsed=44 ms rois=0
10:11:32.662 | INFO | 流水线结束 | total=46 ms steps=[二值化处理(44ms)]
